Experiment,Budget (Tokens),KV Size (GB),TPOT (ms),Throughput (T/s),PPL
Baseline,Full,1.439208984375,89.99727084301412,11.111448054289784,8.2109375
H2O (128+128),256,0.078125,97.55144990049303,10.251000892555119,11.96875
H2O (64+192),256,0.078125,92.3756929114461,10.825358581706421,11.875
Local (256),256,0.078125,80.00751445069909,12.498825977354958,30.328125
